タイトル,メモ,URL,コメント
ベタニア修道女会ベトレヘム第一修道院,,https://www.google.com/maps/place/%E3%83%99%E3%82%BF%E3%83%8B%E3%82%A2%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A%E3%83%99%E3%83%88%E3%83%AC%E3%83%98%E3%83%A0%E7%AC%AC%E4%B8%80%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x6018e7b75484cfe5:0xe3f4a4b44ec16a48,
カトリック宇津教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%AE%87%E6%B4%A5%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60004d309f6aea41:0x31d0c7fceec3592e,
マリアの宣教者フランシスコ修道会,,https://www.google.com/maps/place/%E3%83%9E%E3%83%AA%E3%82%A2%E3%81%AE%E5%AE%A3%E6%95%99%E8%80%85%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9%E3%82%B3%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x601ef01c1f0c16af:0x5d2af56da9a16835,
十字架のイエス・ベネディクト修道会,,https://www.google.com/maps/place/%E5%8D%81%E5%AD%97%E6%9E%B6%E3%81%AE%E3%82%A4%E3%82%A8%E3%82%B9%E3%83%BB%E3%83%99%E3%83%8D%E3%83%87%E3%82%A3%E3%82%AF%E3%83%88%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x6022c64a08f4b601:0x4bb397f5cfb7374e,
ロザリオの聖母会・法人本部,,https://www.google.com/maps/place/%E3%83%AD%E3%82%B6%E3%83%AA%E3%82%AA%E3%81%AE%E8%81%96%E6%AF%8D%E4%BC%9A%E3%83%BB%E6%B3%95%E4%BA%BA%E6%9C%AC%E9%83%A8/data=!4m2!3m1!1s0x60231fd9bab3fe4f:0x255bff9e60c3edde,
カトリックキリストイエズスの宣教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E3%82%A4%E3%82%A8%E3%82%BA%E3%82%B9%E3%81%AE%E5%AE%A3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60189bed18664cc3:0xb406f097225d33ee,
カロンデレットの聖ヨゼフ修道会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%AD%E3%83%B3%E3%83%87%E3%83%AC%E3%83%83%E3%83%88%E3%81%AE%E8%81%96%E3%83%A8%E3%82%BC%E3%83%95%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x6018f55cc08e0cd5:0xb81ff768a747ab5f,
御聖体の宣教クララ修道会 ミッションサンタクララ幼児部,,https://www.google.com/maps/place/%E5%BE%A1%E8%81%96%E4%BD%93%E3%81%AE%E5%AE%A3%E6%95%99%E3%82%AF%E3%83%A9%E3%83%A9%E4%BF%AE%E9%81%93%E4%BC%9A+%E3%83%9F%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%A9%E3%83%A9%E5%B9%BC%E5%85%90%E9%83%A8/data=!4m2!3m1!1s0x6018f47aef134c09:0x4bdac0769797f334,
聖心侍女修道会,,https://www.google.com/maps/place/%E8%81%96%E5%BF%83%E4%BE%8D%E5%A5%B3%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x6018f465f42e6e99:0x4d5c2d78cbafa01f,
無原罪聖母 宣教女会,,https://www.google.com/maps/place/%E7%84%A1%E5%8E%9F%E7%BD%AA%E8%81%96%E6%AF%8D+%E5%AE%A3%E6%95%99%E5%A5%B3%E4%BC%9A/data=!4m2!3m1!1s0x6018f4647a6f64c7:0xf53ef5b9b58549fc,
宗教法人 エスコラピアス修道女会,,https://www.google.com/maps/place/%E5%AE%97%E6%95%99%E6%B3%95%E4%BA%BA+%E3%82%A8%E3%82%B9%E3%82%B3%E3%83%A9%E3%83%94%E3%82%A2%E3%82%B9%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A/data=!4m2!3m1!1s0x6018f48160c3e55b:0x7e485be806fe4b71,
淳心会東京修道院,,https://www.google.com/maps/place/%E6%B7%B3%E5%BF%83%E4%BC%9A%E6%9D%B1%E4%BA%AC%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x6018f3a868245e41:0x71f7210fedec1ba4,
エスコラピアス修道会,,https://www.google.com/maps/place/%E3%82%A8%E3%82%B9%E3%82%B3%E3%83%A9%E3%83%94%E3%82%A2%E3%82%B9%E4%BF%AE%E9%81%93%E4%BC%9A/data=!4m2!3m1!1s0x60185b9227c540c9:0x24a8ac4b17b0c133,
レデンプトール宣教修道女会谷山支部,,https://www.google.com/maps/place/%E3%83%AC%E3%83%87%E3%83%B3%E3%83%97%E3%83%88%E3%83%BC%E3%83%AB%E5%AE%A3%E6%95%99%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A%E8%B0%B7%E5%B1%B1%E6%94%AF%E9%83%A8/data=!4m2!3m1!1s0x353e66824023db59:0x3b337aa3d6676e11,
カトリック聖ザベリオ宣教会九州本部,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E8%81%96%E3%82%B6%E3%83%99%E3%83%AA%E3%82%AA%E5%AE%A3%E6%95%99%E4%BC%9A%E4%B9%9D%E5%B7%9E%E6%9C%AC%E9%83%A8/data=!4m2!3m1!1s0x3538b74c85af39dd:0xda10c597bb3cb99d,
聖ウルスラ修道会塩町修道院,,https://www.google.com/maps/place/%E8%81%96%E3%82%A6%E3%83%AB%E3%82%B9%E3%83%A9%E4%BF%AE%E9%81%93%E4%BC%9A%E5%A1%A9%E7%94%BA%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x5f9b521712853943:0xb215d87a75026c0b,
