タイトル,メモ,URL,コメント
大牟田めぐみ教会,,https://www.google.com/maps/place/%E5%A4%A7%E7%89%9F%E7%94%B0%E3%82%81%E3%81%90%E3%81%BF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x35404fa9a6140001:0x1bf940d2bd712cdd,
大牟田ロゴス教会,,https://www.google.com/maps/place/%E5%A4%A7%E7%89%9F%E7%94%B0%E3%83%AD%E3%82%B4%E3%82%B9%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x35404f40480de2b3:0x4186dd630f9fbdb3,
在日大韓基督教会水戸教会,,https://www.google.com/maps/place/%E5%9C%A8%E6%97%A5%E5%A4%A7%E9%9F%93%E5%9F%BA%E7%9D%A3%E6%95%99%E4%BC%9A%E6%B0%B4%E6%88%B8%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x602225884fa57531:0x2e4afe15a6c193ff,
宮城めぐみ教会,,https://www.google.com/maps/place/%E5%AE%AE%E5%9F%8E%E3%82%81%E3%81%90%E3%81%BF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f8a3d2ca5e54631:0x48d2beb04cb90573,
つきしろキリスト教会,,https://www.google.com/maps/place/%E3%81%A4%E3%81%8D%E3%81%97%E3%82%8D%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x34e56f6bb87c2653:0x578591eab803d57f,
有田キリスト教会（福音の家）,,https://www.google.com/maps/place/%E6%9C%89%E7%94%B0%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A%EF%BC%88%E7%A6%8F%E9%9F%B3%E3%81%AE%E5%AE%B6%EF%BC%89/data=!4m2!3m1!1s0x60074f8863995e15:0x890e53d53a863fbf,
日本ホーリネス教団 みのお泉キリスト教会,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E3%83%9B%E3%83%BC%E3%83%AA%E3%83%8D%E3%82%B9%E6%95%99%E5%9B%A3+%E3%81%BF%E3%81%AE%E3%81%8A%E6%B3%89%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000fbfe25923361:0x5c3613c7fcf69d2b,
Igreja Assembléia de Deus Internacional Comunidade Nikkey Suzuka,,https://www.google.com/maps/place/Igreja+Assembl%C3%A9ia+de+Deus+Internacional+Comunidade+Nikkey+Suzuka/data=!4m2!3m1!1s0x60038b59311f98bb:0x1ab8073b03ecbac8,
Gospel Church Lion of Judah,,https://www.google.com/maps/place/Gospel+Church+Lion+of+Judah/data=!4m2!3m1!1s0x6018a5fdbef9078b:0xd5bcd3220f17582e,
Igreja Internacional da Graça de Deus,,https://www.google.com/maps/place/Igreja+Internacional+da+Gra%C3%A7a+de+Deus/data=!4m2!3m1!1s0x60049d014652331b:0x15f6b0fc408e98f2,
