ID,People,Country,Language,Religion,Indigenous,10/40 Window,PeopleID3,Rog3,Frontier,PopulationRange,% Adherents Source,% Christian Adherents ,Population,Workers Needed
10120MY,Abai Sungai,Malaysia,Abai Sungai,Islam,Yes,Yes,10120,MY,Y,1,0.00%,0.00%,1500,1
10125EG,"Abaza, Arabized",Egypt,"Arabic, Egyptian Spoken",Islam,Yes,Yes,10125,EG,Y,1,10.00%,0.10%,15000,1
10125RS,Abaza,Russia,Abaza,Islam,Yes,No,10125,RS,Y,1,10.00%,0.10%,45000,1
10130TU,Abkhaz,Turkey,Abkhaz,Islam,Yes,Yes,10130,TU,Y,2,0.00%,0.00%,166000,3
10136CD,Abu Sharib,Chad,Mararit,Islam,Yes,Yes,10136,CD,Y,1,1.00%,0.01%,85000,2
10140ID,Lampung Abung,Indonesia,Lampung Nyo,Islam,Yes,Yes,10140,ID,Y,2,2.30%,0.02%,208000,4
10144MY,Acehnese,Malaysia,Malay,Islam,No,Yes,10144,MY,Y,1,0.00%,0.00%,86000,2
10161BU,Adyghe,Bulgaria,Adyghe,Islam,No,No,10161,BU,Y,1,0.00%,0.00%,500,1
10161EG,Adyghe,Egypt,Adyghe,Islam,No,Yes,10161,EG,Y,1,10.00%,0.10%,14000,1
10161GM,Adyghe,Germany,Adyghe,Islam,No,No,10161,GM,Y,1,7.00%,0.07%,2100,1
10161IS,Adyghe,Israel,Adyghe,Islam,No,Yes,10161,IS,Y,1,5.00%,0.05%,3300,1
10161IZ,Adyghe,Iraq,Adyghe,Islam,No,Yes,10161,IZ,Y,1,2.00%,0.02%,40000,1
10161JO,Adyghe,Jordan,Adyghe,Islam,No,Yes,10161,JO,Y,1,2.00%,0.02%,93000,2
10161RI,Adyghe,Serbia,Adyghe,Islam,No,No,10161,RI,Y,1,0.00%,0.00%,2600,1
10161RS,"Adyghe, West Circassian",Russia,Adyghe,Islam,Yes,No,10161,RS,Y,2,7.90%,0.08%,142000,3
10161TU,Adyghe,Turkey,Adyghe,Islam,No,Yes,10161,TU,Y,2,0.00%,0.00%,353000,7
10161UP,Adyghe,Ukraine,Adyghe,Islam,No,No,10161,UP,Y,1,0.00%,0.00%,600,1
10161US,Adyghe,United States,Adyghe,Islam,No,No,10161,US,Y,1,0.00%,0.00%,9100,1
10167SU,"Afitti, Ditti",Sudan,Afitti,Islam,Yes,Yes,10167,SU,Y,1,0.00%,0.00%,5100,1
10184RS,Aghul,Russia,Aghul,Islam,Yes,No,10184,RS,Y,1,0.20%,0.00%,35000,1
10224RS,Akhvakh,Russia,Akhvakh,Islam,Yes,No,10224,RS,Y,1,3.00%,0.03%,6800,1
10242TZ,Alagwa,Tanzania,Alagwa,Islam,Yes,No,10242,TZ,Y,1,2.00%,0.02%,58000,1
10246ID,Alas,Indonesia,Batak Alas-Kluet,Islam,Yes,Yes,10246,ID,Y,1,1.00%,0.01%,92000,2
10247ID,Kluet,Indonesia,Batak Alas-Kluet,Islam,Yes,Yes,10247,ID,Y,1,0.00%,0.00%,58000,1
10252GM,Zaza-Alevi,Germany,"Zazaki, Northern",Islam,No,No,10252,GM,Y,1,0.00%,0.00%,31000,1
10252TU,Zaza-Alevi,Turkey,"Zazaki, Northern",Islam,Yes,Yes,10252,TU,Y,2,0.00%,0.00%,202000,4
10289CD,"Mimi, Amdang",Chad,Amdang,Islam,Yes,Yes,10289,CD,Y,1,0.00%,0.00%,90000,2
10289SU,"Mimi, Amdang",Sudan,Amdang,Islam,No,Yes,10289,SU,Y,1,0.00%,0.00%,64000,1
10295CH,Ami,China,Amis,Ethnic Religions,Yes,Yes,10295,CH,Y,1,0.00%,0.00%,2100,1
10300ID,Ampanang,Indonesia,Ampanang,Ethnic Religions,Yes,Yes,10300,ID,Y,1,0.00%,0.00%,40000,1
10301SU,Amri,Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10301,SU,Y,1,0.00%,0.00%,88000,2
10310RS,"Andi, Qwannab",Russia,Andi,Islam,Yes,No,10310,RS,Y,1,0.40%,0.00%,31000,1
10312ID,"Andio, Masama",Indonesia,Andio,Islam,Yes,Yes,10312,ID,Y,1,0.00%,0.00%,2700,1
10317ID,Aneuk Jamee,Indonesia,Minangkabau,Islam,Yes,Yes,10317,ID,Y,1,10.00%,0.10%,75000,1
10358ID,Anus,Indonesia,Anus,Ethnic Religions,Yes,Yes,10358,ID,Y,1,0.00%,0.00%,400,1
10380YM,"Muhamasheen, Akhdam",Yemen,"Arabic, Taizzi-Adeni Spoken",Islam,Yes,Yes,10380,YM,Y,4,0.00%,0.00%,1536000,31
10381SU,"Burun, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10381,SU,Y,2,0.00%,0.00%,150000,3
10382SU,"Dilling, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10382,SU,Y,1,0.00%,0.00%,86000,2
10383SU,"Ghulfan, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10383,SU,Y,1,0.00%,0.00%,51000,1
